person_id,driver,worker,educ,hhincttl,numadlt,drvrcnt,r_age,r_sex,hhsize,homeown,pertrips,incBin,educBin,incRatio,adultRatio,adult
100070441,1,0,2,9,2,2,63,0,2,1,6,2,1,22500,1,1
100070442,1,0,2,9,2,2,83,1,2,1,6,2,1,22500,1,1
100111081,1,1,2,12,2,2,41,1,2,0,6,3,1,30000,1,1
100111082,1,1,4,12,2,2,40,0,2,0,4,3,1,30000,1,1
100260901,1,1,7,7,1,1,40,0,1,1,7,2,1,35000,1,1
100524731,1,1,6,18,1,1,47,1,1,1,3,4,1,90000,1,1
100748771,1,0,4,6,2,1,88,1,2,1,4,1,1,15000,1,1
101020601,1,1,8,8,1,1,30,1,1,0,2,2,1,40000,1,1
101156591,1,0,2,16,2,2,77,0,2,1,5,3,1,40000,1,1
101307191,1,0,4,14,2,2,59,0,2,1,10,3,1,35000,1,1
101444621,1,1,3,10,1,1,60,1,1,1,7,2,1,50000,1,1
101594111,1,1,2,18,2,2,29,0,3,1,6,4,1,30000,0.6666666666666666,1
101594112,1,1,6,18,2,2,40,1,3,1,4,4,1,30000,0.6666666666666666,1
101594113,NA,NA,NA,18,2,2,9,1,3,1,3,4,0,30000,0.6666666666666666,0
101737521,1,0,4,11,2,2,26,0,3,1,5,2,1,18333.333333333332,0.6666666666666666,1
101737522,1,1,2,11,2,2,32,1,3,1,12,2,1,18333.333333333332,0.6666666666666666,1
101737523,NA,NA,NA,11,2,2,0,1,3,1,5,2,0,18333.333333333332,0.6666666666666666,0
101815421,1,1,4,18,2,2,35,0,4,1,7,4,1,22500,0.5,1
102005641,1,0,8,17,1,1,53,0,1,1,2,4,1,85000,1,1
102629732,1,1,2,4,2,2,26,1,5,0,9,1,1,4000,0.4,1
102629733,NA,NA,NA,4,2,2,8,1,5,0,3,1,0,4000,0.4,0
102677631,1,1,4,7,1,1,40,0,2,1,2,2,1,17500,0.5,1
103394641,1,1,NA,NA,2,2,38,1,5,0,1,NA,0,NA,0.4,1
103508981,1,1,6,15,2,3,43,0,5,1,7,3,1,15000,0.4,1
103508982,1,1,4,15,2,3,44,1,5,1,7,3,1,15000,0.4,1
103508984,NA,NA,NA,15,2,3,13,1,5,1,2,3,0,15000,0.4,0
103508985,NA,NA,NA,15,2,3,11,0,5,1,5,3,0,15000,0.4,0
103645782,1,1,8,18,3,3,59,1,3,1,3,4,1,30000,1,1
103645783,1,1,6,18,3,3,56,0,3,1,4,4,1,30000,1,1
103670291,1,1,6,10,2,2,24,0,2,1,16,2,1,25000,1,1
103670292,1,1,2,10,2,2,19,1,2,1,4,2,1,25000,1,1
103678321,1,1,7,13,2,2,50,0,2,1,10,3,1,32500,1,1
104842251,1,0,2,7,3,3,27,0,5,1,4,2,1,7000,0.6,1
104842252,1,1,2,7,3,3,50,1,5,1,2,2,1,7000,0.6,1
104842253,1,1,2,7,3,3,52,0,5,1,2,2,1,7000,0.6,1
104842254,NA,NA,NA,7,3,3,10,1,5,1,4,2,0,7000,0.6,0
104842255,NA,NA,NA,7,3,3,6,0,5,1,4,2,0,7000,0.6,0
104866212,NA,NA,NA,7,2,2,14,1,4,0,4,2,0,8750,0.5,0
104866213,NA,NA,NA,7,2,2,13,1,4,0,4,2,0,8750,0.5,0
104977571,1,1,6,17,2,2,60,1,3,1,2,4,1,28333.333333333332,0.6666666666666666,1
104977572,1,1,6,17,2,2,26,0,3,1,2,4,1,28333.333333333332,0.6666666666666666,1
105049451,1,1,8,12,3,3,24,0,3,1,7,3,1,20000,1,1
105049452,1,1,5,12,3,3,55,0,3,1,7,3,1,20000,1,1
105049453,1,1,6,12,3,3,55,1,3,1,4,3,1,20000,1,1
105118951,0,0,4,4,2,1,24,0,3,1,3,1,1,6666.666666666667,0.6666666666666666,1
105118952,1,1,2,4,2,1,24,1,3,1,5,1,1,6666.666666666667,0.6666666666666666,1
105118953,NA,NA,NA,4,2,1,1,1,3,1,3,1,0,6666.666666666667,0.6666666666666666,0
105143001,1,0,4,17,2,2,37,0,3,1,2,4,1,28333.333333333332,0.6666666666666666,1
105143002,1,1,8,17,2,2,35,1,3,1,7,4,1,28333.333333333332,0.6666666666666666,1
105143003,NA,NA,NA,17,2,2,2,0,3,1,2,4,0,28333.333333333332,0.6666666666666666,0
105498431,1,1,6,8,2,2,61,0,2,1,3,2,1,20000,1,1
105498432,1,0,5,8,2,2,60,0,2,1,4,2,1,20000,1,1
105506611,1,0,4,NA,2,2,72,1,2,1,8,NA,1,NA,1,1
105506612,1,0,2,NA,2,2,71,0,2,1,12,NA,1,NA,1,1
105540891,1,0,2,4,2,2,70,1,2,1,2,1,1,10000,1,1
105540892,1,0,2,4,2,2,69,0,2,1,4,1,1,10000,1,1
105615371,1,0,6,13,2,2,70,0,2,1,8,3,1,32500,1,1
105615372,1,1,2,13,2,2,68,1,2,1,7,3,1,32500,1,1
105640511,1,0,6,17,3,3,62,1,3,1,5,4,1,28333.333333333332,1,1
105640512,1,1,6,17,3,3,52,0,3,1,6,4,1,28333.333333333332,1,1
105640513,1,1,4,17,3,3,20,0,3,1,8,4,1,28333.333333333332,1,1
105742921,1,0,4,4,2,2,71,1,2,1,4,1,1,10000,1,1
105742922,1,0,2,4,2,2,77,0,2,1,4,1,1,10000,1,1
105784871,1,1,8,17,2,2,38,1,2,1,2,4,1,42500,1,1
105786742,1,1,7,10,2,2,56,0,2,1,11,2,1,25000,1,1
105857661,1,1,4,3,2,2,40,1,3,1,6,1,1,5000,0.6666666666666666,1
105866601,1,1,6,18,2,2,38,0,4,1,6,4,1,22500,0.5,1
105866602,1,1,6,18,2,2,40,1,4,1,7,4,1,22500,0.5,1
105866603,NA,NA,NA,18,2,2,13,1,4,1,7,4,0,22500,0.5,0
105866604,NA,NA,NA,18,2,2,4,1,4,1,5,4,0,22500,0.5,0
105878632,1,1,2,12,3,3,60,0,5,1,2,3,1,12000,0.6,1
105878633,1,1,2,12,3,3,18,0,5,1,3,3,1,12000,0.6,1
105878634,NA,NA,NA,12,3,3,14,0,5,1,6,3,0,12000,0.6,0
105989441,0,0,1,2,2,1,45,0,6,0,2,1,0,1666.6666666666667,0.3333333333333333,1
105989442,1,1,1,2,2,1,47,1,6,0,2,1,0,1666.6666666666667,0.3333333333333333,1
105989443,NA,NA,NA,2,2,1,10,0,6,0,2,1,0,1666.6666666666667,0.3333333333333333,0
106066341,1,1,4,6,4,4,19,0,4,0,6,1,1,7500,1,1
106066342,1,1,4,6,4,4,20,0,4,0,4,1,1,7500,1,1
106066343,1,1,4,6,4,4,20,0,4,0,5,1,1,7500,1,1
106066344,1,1,5,6,4,4,24,1,4,0,5,1,1,7500,1,1
106176851,1,1,2,8,2,2,48,1,2,1,4,2,1,20000,1,1
106199151,0,1,1,2,2,1,23,0,3,0,4,1,0,3333.3333333333335,0.6666666666666666,1
106259071,1,1,8,6,2,2,57,1,2,1,3,1,1,15000,1,1
106259072,1,0,4,6,2,2,57,0,2,1,8,1,1,15000,1,1
106427801,1,1,2,18,4,5,43,0,7,1,4,4,1,12857.142857142857,0.5714285714285714,1
106427802,1,1,5,18,4,5,47,1,7,1,8,4,1,12857.142857142857,0.5714285714285714,1
106427803,1,1,4,18,4,5,22,1,7,1,4,4,1,12857.142857142857,0.5714285714285714,1
106427806,1,1,1,18,4,5,16,1,7,1,7,4,0,12857.142857142857,0.5714285714285714,0
106427807,NA,NA,NA,18,4,5,13,0,7,1,5,4,0,12857.142857142857,0.5714285714285714,0
106427808,NA,NA,NA,18,4,5,11,1,7,1,4,4,0,12857.142857142857,0.5714285714285714,0
106438351,0,1,5,16,2,2,33,1,5,0,3,3,1,16000,0.4,1
106438352,1,0,4,16,2,2,31,0,5,0,6,3,1,16000,0.4,1
106438353,1,NA,NA,16,2,2,NA,1,5,0,1,3,0,16000,0.4,0
106438354,NA,NA,NA,16,2,2,9,0,5,0,6,3,0,16000,0.4,0
106438355,NA,NA,NA,16,2,2,4,0,5,0,3,3,0,16000,0.4,0
106499121,1,1,2,10,2,2,42,0,2,1,2,2,1,25000,1,1
106499122,1,1,3,10,2,2,35,1,2,1,3,2,1,25000,1,1
106516431,1,0,4,7,1,1,75,0,1,1,6,2,1,35000,1,1
106525471,1,1,2,6,2,2,36,0,6,0,2,1,1,5000,0.3333333333333333,1
106525473,NA,NA,NA,6,2,2,11,1,6,0,4,1,0,5000,0.3333333333333333,0
106525474,NA,NA,NA,6,2,2,9,1,6,0,4,1,0,5000,0.3333333333333333,0
106525475,NA,NA,NA,6,2,2,8,0,6,0,4,1,0,5000,0.3333333333333333,0
106525476,NA,NA,NA,6,2,2,6,1,6,0,6,1,0,5000,0.3333333333333333,0
106531331,0,0,1,1,1,0,33,1,1,0,4,1,0,5000,1,1
106548131,1,0,4,10,2,2,73,1,2,1,1,2,1,25000,1,1
106548132,1,0,8,10,2,2,64,0,2,1,4,2,1,25000,1,1
106574211,1,1,8,18,2,2,72,1,2,1,4,4,1,45000,1,1
106708401,1,0,2,5,1,1,77,0,1,1,2,1,1,25000,1,1
106723671,1,1,8,17,1,1,37,0,1,1,2,4,1,85000,1,1
106728991,1,1,4,3,1,1,48,1,1,1,4,1,1,15000,1,1
106743251,1,1,2,11,2,2,21,1,2,1,4,2,1,27500,1,1
106743252,1,1,2,11,2,2,21,0,2,1,4,2,1,27500,1,1
106762441,1,0,2,NA,1,1,69,0,1,0,5,NA,1,NA,1,1
106772781,1,1,6,6,2,2,24,0,2,0,6,1,1,15000,1,1
106772782,1,1,4,6,2,2,26,1,2,0,6,1,1,15000,1,1
106795171,1,1,5,13,3,3,52,1,3,0,4,3,1,21666.666666666668,1,1
106795173,1,1,4,13,3,3,19,0,3,0,6,3,1,21666.666666666668,1,1
106797221,1,0,6,16,2,2,53,0,2,1,3,3,1,40000,1,1
106952091,1,1,1,4,3,2,32,1,3,1,5,1,0,6666.666666666667,1,1
106966992,1,1,4,5,2,2,36,0,3,1,3,1,1,8333.333333333334,0.6666666666666666,1
107065612,1,1,2,16,2,3,46,1,3,1,3,3,1,26666.666666666668,0.6666666666666666,1
107065613,1,1,1,16,2,3,17,1,3,1,4,3,0,26666.666666666668,0.6666666666666666,0
107125441,1,0,6,18,2,2,37,0,6,1,8,4,1,15000,0.3333333333333333,1
107125443,NA,NA,NA,18,2,2,12,1,6,1,8,4,0,15000,0.3333333333333333,0
107125444,NA,NA,NA,18,2,2,9,0,6,1,5,4,0,15000,0.3333333333333333,0
107125445,NA,NA,NA,18,2,2,7,0,6,1,5,4,0,15000,0.3333333333333333,0
107125446,NA,NA,NA,18,2,2,4,0,6,1,8,4,0,15000,0.3333333333333333,0
107140611,1,0,8,8,1,1,64,0,1,1,2,2,1,40000,1,1
107259371,1,1,4,16,2,2,27,0,2,1,8,3,1,40000,1,1
107259372,1,1,6,16,2,2,28,1,2,1,4,3,1,40000,1,1
107352261,1,1,4,11,2,2,51,1,2,0,5,2,1,27500,1,1
107469871,1,1,2,7,2,2,25,0,4,1,2,2,1,8750,0.5,1
107469873,NA,NA,NA,7,2,2,4,0,4,1,2,2,0,8750,0.5,0
107469874,NA,NA,NA,7,2,2,1,0,4,1,2,2,0,8750,0.5,0
107728291,1,1,4,18,2,2,33,0,6,1,5,4,1,15000,0.3333333333333333,1
107728292,1,1,4,18,2,2,40,1,6,1,4,4,1,15000,0.3333333333333333,1
107728293,NA,NA,NA,18,2,2,10,0,6,1,2,4,0,15000,0.3333333333333333,0
107728294,NA,NA,NA,18,2,2,8,0,6,1,2,4,0,15000,0.3333333333333333,0
107728295,NA,NA,NA,18,2,2,6,0,6,1,4,4,0,15000,0.3333333333333333,0
107728296,NA,NA,NA,18,2,2,5,1,6,1,4,4,0,15000,0.3333333333333333,0
107843091,1,0,6,8,2,1,77,1,2,1,4,2,1,20000,1,1
107843092,0,0,2,8,2,1,76,0,2,1,4,2,1,20000,1,1
107927061,1,0,8,18,2,2,79,1,2,1,5,4,1,45000,1,1
107927062,1,0,4,18,2,2,69,0,2,1,3,4,1,45000,1,1
107990681,0,0,2,NA,1,0,38,0,3,0,4,NA,1,NA,0.3333333333333333,1
107990682,NA,NA,NA,NA,1,0,4,1,3,0,2,NA,0,NA,0.3333333333333333,0
107990683,NA,NA,NA,NA,1,0,1,1,3,0,2,NA,0,NA,0.3333333333333333,0
108069841,1,0,1,NA,2,2,71,1,2,1,6,NA,0,NA,1,1
108069842,1,0,1,NA,2,2,64,0,2,1,2,NA,0,NA,1,1
108080631,1,0,6,18,2,2,65,1,2,1,5,4,1,45000,1,1
108154271,1,0,4,11,2,2,58,1,2,1,5,2,1,27500,1,1
108154272,1,0,4,11,2,2,52,0,2,1,3,2,1,27500,1,1
108252931,1,0,4,6,1,1,80,0,1,1,4,1,1,30000,1,1
108365521,1,0,2,7,2,2,69,0,2,1,7,2,1,17500,1,1
108365522,1,0,2,7,2,2,63,1,2,1,7,2,1,17500,1,1
108382752,1,1,4,14,2,2,35,1,4,1,5,3,1,17500,0.5,1
108392901,1,1,5,17,2,2,42,1,3,1,4,4,1,28333.333333333332,0.6666666666666666,1
108392902,1,1,4,17,2,2,44,0,3,1,4,4,1,28333.333333333332,0.6666666666666666,1
108392903,NA,NA,NA,17,2,2,12,1,3,1,1,4,0,28333.333333333332,0.6666666666666666,0
108528511,1,0,6,18,2,3,46,0,4,1,4,4,1,22500,0.5,1
108528512,1,1,6,18,2,3,47,1,4,1,3,4,1,22500,0.5,1
108528513,NA,NA,NA,18,2,3,14,1,4,1,5,4,0,22500,0.5,0
108528514,1,0,1,18,2,3,16,0,4,1,4,4,0,22500,0.5,0
108564571,1,1,4,13,2,2,64,1,2,1,2,3,1,32500,1,1
108564572,1,1,4,13,2,2,NA,0,2,1,5,3,1,32500,1,0
108676954,1,0,4,6,2,3,65,1,3,1,7,1,1,10000,0.6666666666666666,1
108768481,1,0,4,2,1,1,48,0,1,0,3,1,1,10000,1,1
108778271,1,1,4,10,1,1,50,0,1,0,7,2,1,50000,1,1
108919531,1,1,1,4,1,1,39,0,3,1,6,1,0,6666.666666666667,0.3333333333333333,1
108919532,NA,NA,NA,4,1,1,11,0,3,1,4,1,0,6666.666666666667,0.3333333333333333,0
108919533,NA,NA,NA,4,1,1,11,1,3,1,4,1,0,6666.666666666667,0.3333333333333333,0
108926151,1,1,8,16,2,3,60,1,3,1,6,3,1,26666.666666666668,0.6666666666666666,1
108926152,1,1,5,16,2,3,50,0,3,1,4,3,1,26666.666666666668,0.6666666666666666,1
108929411,1,1,6,11,2,2,44,0,2,1,4,2,1,27500,1,1
108929412,1,1,8,11,2,2,45,1,2,1,4,2,1,27500,1,1
108943101,1,1,8,15,2,2,40,1,2,1,4,3,1,37500,1,1
108943102,1,0,8,15,2,2,38,0,2,1,4,3,1,37500,1,1
109317561,1,1,8,18,2,2,64,1,2,1,4,4,1,45000,1,1
109317562,1,0,8,18,2,2,62,0,2,1,7,4,1,45000,1,1
109338991,1,1,4,15,2,2,27,1,4,1,5,3,1,18750,0.5,1
109338992,1,1,4,15,2,2,28,0,4,1,2,3,1,18750,0.5,1
109528091,1,1,6,18,1,1,53,1,1,1,6,4,1,90000,1,1
109580891,1,0,8,10,2,2,67,1,2,1,4,2,1,25000,1,1
109580892,1,1,4,10,2,2,67,0,2,1,7,2,1,25000,1,1
109616141,1,0,4,12,2,2,56,0,2,1,3,3,1,30000,1,1
109616142,1,1,2,12,2,2,57,1,2,1,2,3,1,30000,1,1
109676251,1,1,8,18,1,2,51,0,2,1,5,4,1,45000,0.5,1
109676252,1,1,1,18,1,2,17,0,2,1,8,4,0,45000,0.5,0
109680881,1,1,2,10,2,2,32,1,3,0,2,2,1,16666.666666666668,0.6666666666666666,1
109719211,1,1,6,14,2,2,36,0,4,1,4,3,1,17500,0.5,1
109719212,1,1,6,14,2,2,35,1,4,1,4,3,1,17500,0.5,1
109719213,NA,NA,NA,14,2,2,7,0,4,1,4,3,0,17500,0.5,0
109719214,NA,NA,NA,14,2,2,3,1,4,1,4,3,0,17500,0.5,0
109725172,1,1,1,16,2,2,23,0,4,0,3,3,0,20000,0.5,1
109768501,1,1,8,NA,2,2,60,1,2,1,6,NA,1,NA,1,1
109768502,1,1,6,NA,2,2,57,0,2,1,3,NA,1,NA,1,1
109783221,1,1,1,12,3,4,18,1,6,1,7,3,0,10000,0.5,1
109783222,1,1,4,12,3,4,36,0,6,1,2,3,1,10000,0.5,1
109783223,1,1,4,12,3,4,34,1,6,1,5,3,1,10000,0.5,1
109787792,1,1,6,16,2,2,29,1,2,0,3,3,1,40000,1,1
109846681,1,0,4,10,3,3,68,0,4,0,9,2,1,12500,0.75,1
109846683,1,0,6,10,3,3,57,1,4,0,8,2,1,12500,0.75,1
109846684,0,0,1,10,3,3,17,0,4,0,5,2,0,12500,0.75,0
109859001,1,1,8,17,2,2,45,1,4,1,6,4,1,21250,0.5,1
109859002,1,1,4,17,2,2,43,0,4,1,3,4,1,21250,0.5,1
109859003,NA,NA,NA,17,2,2,12,1,4,1,2,4,0,21250,0.5,0
109859004,NA,NA,NA,17,2,2,10,0,4,1,2,4,0,21250,0.5,0
110071351,1,1,8,18,2,2,34,0,3,1,4,4,1,30000,0.6666666666666666,1
110071352,1,1,8,18,2,2,37,1,3,1,4,4,1,30000,0.6666666666666666,1
110071353,NA,NA,NA,18,2,2,0,1,3,1,2,4,0,30000,0.6666666666666666,0
110079931,1,1,5,12,2,2,30,1,2,1,5,3,1,30000,1,1
110079932,1,1,6,12,2,2,29,0,2,1,12,3,1,30000,1,1
110115431,1,0,8,10,1,1,54,1,1,1,11,2,1,50000,1,1
110217571,1,0,6,NA,2,2,66,1,2,1,5,NA,1,NA,1,1
110217572,1,0,6,NA,2,2,62,0,2,1,5,NA,1,NA,1,1
110222771,1,1,8,16,2,2,33,0,6,1,4,3,1,13333.333333333334,0.3333333333333333,1
110222772,1,1,6,16,2,2,33,1,6,1,4,3,1,13333.333333333334,0.3333333333333333,1
110222773,NA,NA,NA,16,2,2,7,1,6,1,5,3,0,13333.333333333334,0.3333333333333333,0
110222774,NA,NA,NA,16,2,2,3,1,6,1,5,3,0,13333.333333333334,0.3333333333333333,0
110222775,NA,NA,NA,16,2,2,0,1,6,1,4,3,0,13333.333333333334,0.3333333333333333,0
110222776,NA,NA,NA,16,2,2,0,1,6,1,3,3,0,13333.333333333334,0.3333333333333333,0
110258851,1,0,4,3,1,1,56,0,1,1,16,1,1,15000,1,1
110391271,1,1,4,10,2,2,55,0,2,1,8,2,1,25000,1,1
110391272,1,0,2,10,2,2,60,1,2,1,10,2,1,25000,1,1
117990651,1,1,4,17,1,1,46,0,3,1,6,4,1,28333.333333333332,0.3333333333333333,1
117990653,NA,NA,NA,17,1,1,13,0,3,1,6,4,0,28333.333333333332,0.3333333333333333,0
118064681,1,1,4,10,2,2,42,0,2,1,3,2,1,25000,1,1
118064682,1,1,4,10,2,2,36,1,2,1,5,2,1,25000,1,1
118225701,1,0,5,3,1,1,67,1,1,0,6,1,1,15000,1,1
118269613,1,0,2,NA,4,4,NA,1,5,1,2,NA,1,NA,0.8,0
118269614,1,0,4,NA,4,4,NA,0,5,1,4,NA,1,NA,0.8,0
118547041,1,1,8,18,2,2,63,1,2,1,3,4,1,45000,1,1
118562581,1,1,8,18,1,1,51,1,3,0,5,4,1,30000,0.3333333333333333,1
118592771,1,1,6,18,2,2,36,1,2,1,8,4,1,45000,1,1
118592772,1,1,8,18,2,2,28,1,2,1,5,4,1,45000,1,1
118672901,1,1,6,13,1,2,53,0,2,1,8,3,1,32500,0.5,1
119169921,1,1,6,17,2,2,53,1,2,1,6,4,1,42500,1,1
119169922,1,1,8,17,2,2,67,1,2,1,5,4,1,42500,1,1
119204031,1,1,4,NA,1,1,33,1,1,0,3,NA,1,NA,1,1
119471741,1,0,2,3,1,1,70,0,1,1,6,1,1,15000,1,1
119519201,1,1,4,13,3,5,58,1,5,1,4,3,1,13000,0.6,1
119519202,1,1,2,13,3,5,57,0,5,1,2,3,1,13000,0.6,1
119519203,1,1,2,13,3,5,18,1,5,1,2,3,1,13000,0.6,1
119519204,1,1,1,13,3,5,17,0,5,1,4,3,0,13000,0.6,0
119519205,1,1,1,13,3,5,16,0,5,1,2,3,0,13000,0.6,0
119573881,1,1,6,13,2,2,26,0,2,0,2,3,1,32500,1,1
119630711,1,0,8,12,2,2,70,1,2,1,4,3,1,30000,1,1
119630712,1,0,8,12,2,2,72,0,2,1,1,3,1,30000,1,1
119689001,1,0,2,12,2,2,27,0,4,1,7,3,1,15000,0.5,1
119689002,1,1,6,12,2,2,31,1,4,1,6,3,1,15000,0.5,1
119689003,NA,NA,NA,12,2,2,5,1,4,1,4,3,0,15000,0.5,0
119689004,NA,NA,NA,12,2,2,3,0,4,1,7,3,0,15000,0.5,0
119713841,1,1,4,5,1,1,65,0,1,1,2,1,1,25000,1,1
119718611,1,1,2,14,2,2,32,0,5,0,4,3,1,14000,0.4,1
119718612,1,1,2,14,2,2,45,1,5,0,3,3,1,14000,0.4,1
119718613,NA,NA,NA,14,2,2,14,0,5,0,2,3,0,14000,0.4,0
119718614,NA,NA,NA,14,2,2,12,1,5,0,2,3,0,14000,0.4,0
119718615,NA,NA,NA,14,2,2,6,1,5,0,2,3,0,14000,0.4,0
119978341,1,1,6,6,1,1,27,0,3,0,6,1,1,10000,0.3333333333333333,1
120458261,1,0,2,8,1,1,74,0,1,1,6,2,1,40000,1,1
120550121,1,1,4,18,4,4,58,1,5,1,6,4,1,18000,0.8,1
120550122,1,1,4,18,4,4,51,0,5,1,9,4,1,18000,0.8,1
120550123,1,1,4,18,4,4,29,1,5,1,5,4,1,18000,0.8,1
120550124,1,1,8,18,4,4,26,0,5,1,2,4,1,18000,0.8,1
120550125,0,0,NA,18,4,4,15,0,5,1,2,4,0,18000,0.8,0
120934611,1,1,8,10,2,2,38,0,2,1,5,2,1,25000,1,1
120934612,1,1,8,10,2,2,45,1,2,1,3,2,1,25000,1,1
120986621,1,0,4,4,1,1,88,0,1,1,6,1,1,20000,1,1
120991551,1,0,2,9,1,1,61,0,1,1,2,2,1,45000,1,1
121085701,0,0,4,5,1,0,71,0,1,0,2,1,1,25000,1,1
121245341,1,1,6,14,2,2,30,1,2,1,5,3,1,35000,1,1
121245342,1,1,8,14,2,2,31,0,2,1,5,3,1,35000,1,1
121350441,1,0,8,18,2,2,62,1,3,1,12,4,1,30000,0.6666666666666666,1
121350442,1,1,7,18,2,2,40,0,3,1,6,4,1,30000,0.6666666666666666,1
121350443,NA,NA,NA,18,2,2,13,0,3,1,3,4,0,30000,0.6666666666666666,0
121388031,1,1,8,18,1,1,59,1,1,1,2,4,1,90000,1,1
121445231,1,1,6,18,2,2,30,1,2,1,5,4,1,45000,1,1
121445232,1,1,4,18,2,2,27,1,2,1,2,4,1,45000,1,1
121578041,1,0,2,6,2,2,77,0,2,1,4,1,1,15000,1,1
121578042,1,0,2,6,2,2,76,1,2,1,4,1,1,15000,1,1
121578311,1,1,6,6,1,1,65,0,1,1,11,1,1,30000,1,1
121719581,1,1,2,5,2,1,62,0,2,1,6,1,1,12500,1,1
121719582,0,0,4,5,2,1,61,0,2,1,4,1,1,12500,1,1
121903882,1,1,2,10,2,2,49,1,3,0,5,2,1,16666.666666666668,0.6666666666666666,1
121923641,1,0,8,NA,2,2,76,1,2,1,5,NA,1,NA,1,1
121923642,1,0,2,NA,2,2,76,0,2,1,9,NA,1,NA,1,1
122182191,1,1,1,7,2,2,59,0,2,0,5,2,0,17500,1,1
122182192,1,1,5,7,2,2,54,1,2,0,10,2,1,17500,1,1
122252622,1,1,2,15,3,3,23,0,4,1,2,3,1,18750,0.75,1
122256551,0,0,2,NA,2,1,62,0,2,1,1,NA,1,NA,1,1
122281241,1,0,5,14,2,2,29,1,2,0,6,3,1,35000,1,1
122451941,1,0,3,4,2,2,79,0,2,1,6,1,1,10000,1,1
122451942,1,0,3,4,2,2,82,1,2,1,6,1,1,10000,1,1
122483641,1,1,5,16,2,2,48,0,2,1,12,3,1,40000,1,1
122483642,1,1,4,16,2,2,49,0,2,1,2,3,1,40000,1,1
122518691,1,0,4,5,1,1,79,1,1,1,1,1,1,25000,1,1
122560061,1,1,2,6,3,3,37,0,5,1,2,1,1,6000,0.6,1
122560062,1,0,2,6,3,3,75,1,5,1,2,1,1,6000,0.6,1
122560063,1,0,1,6,3,3,63,0,5,1,2,1,0,6000,0.6,1
122560064,NA,NA,NA,6,3,3,12,0,5,1,2,1,0,6000,0.6,0
122560065,NA,NA,NA,6,3,3,7,1,5,1,2,1,0,6000,0.6,0
122564351,1,0,1,18,2,2,58,0,2,1,6,4,0,45000,1,1
122564352,1,1,8,18,2,2,57,1,2,1,7,4,1,45000,1,1
122762191,1,1,5,15,2,3,43,0,6,1,7,3,1,12500,0.3333333333333333,1
122762192,1,1,2,15,2,3,39,1,6,1,2,3,1,12500,0.3333333333333333,1
122762193,1,1,1,15,2,3,17,1,6,1,4,3,0,12500,0.3333333333333333,0
122762194,NA,NA,NA,15,2,3,14,1,6,1,2,3,0,12500,0.3333333333333333,0
122762195,NA,NA,NA,15,2,3,13,1,6,1,2,3,0,12500,0.3333333333333333,0
122762196,NA,NA,NA,15,2,3,11,1,6,1,2,3,0,12500,0.3333333333333333,0
122877011,1,1,6,18,2,2,43,0,2,1,9,4,1,45000,1,1
122888471,1,1,4,7,1,1,45,0,1,1,6,2,1,35000,1,1
123139631,1,1,4,14,2,2,42,1,4,1,2,3,1,17500,0.5,1
123139632,1,1,6,14,2,2,42,0,4,1,4,3,1,17500,0.5,1
123139633,NA,NA,NA,14,2,2,13,1,4,1,4,3,0,17500,0.5,0
123139634,NA,NA,NA,14,2,2,11,1,4,1,6,3,0,17500,0.5,0
123176171,1,1,2,7,3,2,47,1,3,1,2,2,1,11666.666666666666,1,1
123176172,1,1,2,7,3,2,45,0,3,1,2,2,1,11666.666666666666,1,1
